,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
TimeInSeconds:,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,423,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,23,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,424,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,24,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.495,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,7,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,425,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,25,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,426,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,3,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,427,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,2,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,428,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,3,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,7,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,429,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,4,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,430,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,5,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.323,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,431,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,6,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,6.854,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,432,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,7,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,433,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,8,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,434,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,9,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,435,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,436,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,11,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,437,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,12,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,438,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,13,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,439,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,14,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,440,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,15,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,441,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,16,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,442,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,17,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,443,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,18,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,2,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,444,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,19,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,445,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,20,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,446,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,21,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,22.57,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,447,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,22,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,448,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,23,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,2,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,449,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,24,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,7,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,450,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,25,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,451,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,3,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,452,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,2,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,5,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,453,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,3,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,454,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,4,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,455,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,5,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,456,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,6,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,2,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,457,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,7,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,458,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,8,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,459,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,9,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,460,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,461,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,11,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,2,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,462,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,12,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,3,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,463,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,13,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,464,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,14,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,465,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,15,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,466,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,16,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,467,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,17,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,468,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,18,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,469,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,19,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,470,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,20,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,471,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,21,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,12.134,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,472,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,22,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,473,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,23,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,1.603,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,474,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,24,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,475,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,25,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,476,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,4,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,477,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,2,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,478,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,3,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.383,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,479,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,4,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,480,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,5,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.391,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,481,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,6,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,482,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,7,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,483,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,8,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,484,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,9,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,485,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,486,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,11,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,487,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,12,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,488,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,13,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,489,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,14,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,490,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,15,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,491,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,16,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.251,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,9,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,492,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,17,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,493,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,18,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,494,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,19,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,495,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,20,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,496,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,21,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,22.523,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,497,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,22,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,498,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,23,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,499,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,24,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.829,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,500,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,25,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,501,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,502,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,2,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,503,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,3,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,504,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,4,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,4,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,505,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,5,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,506,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,6,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,507,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,7,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,508,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,8,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,2,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,509,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,9,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,510,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,511,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,11,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,512,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,12,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,513,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,13,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,514,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,14,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,515,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,15,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,516,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,16,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,517,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,17,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,518,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,18,,,,,,,,,,,,,,,,,,,,,,,,,,
